StudentID,Title,FirstName,LastName,BirthDate,CurrentSchool,ContactEmail
69000001,Mr.,Somchai,Jaidee,2006-03-12,Demonstration School of University,A.somchai@example.com
69000002,Ms.,Ornthai,Saengthong,2005-07-28,Triam Udom Suksa School,ornthai@example.com
69000003,Mr.,Natthawut,Kriangkrai,2006-11-05,Bangkok Christian College,natt@example.com
69000004,Mrs.,Piyanun,Suksri,2005-01-19,Mahidol Wittayanusorn School,piyanun@example.com
69000005,Mr.,Thanapon,Wongthai,2006-06-02,Suan Kularb School,thanapon@example.com
69000006,Ms.,Duanpen,Rungroj,2005-09-15,Bangkok Patana School,duanpen@example.com
69000007,Mr.,Kittipong,Saelim,2006-02-23,Assumption College,kittipong@example.com
69000008,Ms.,Jutamas,Srisuk,2005-12-30,Horwang School,jutamas@example.com
69000009,Mr.,Woranyu,Chaiwong,2006-04-08,Triam Udom Suksa School,woranyu@example.com
69000010,Mrs.,Sudarat,Pongpan,2005-05-21,Satriwithaya School,sudarat@example.com
69000011,Ms.,Parichat,Nimnuan,2006-08-09,Chulalongkorn Demonstration School,parichat@example.com
